date,avg_temp
1980/2/1,2.1
1980/2/2,3.7
1980/2/3,4.6
1980/2/4,5
1980/2/5,2.3
1980/2/6,0.8
1980/2/7,2.2
1980/2/8,2.3
1980/2/9,1.3
1980/2/10,2.5
1980/2/11,5.1
1980/2/12,4.3
1980/2/13,4.5
1980/2/14,3.5
1980/2/15,3.4
1980/2/16,1.9
1980/2/17,3.2
1980/2/18,3.3
1980/2/19,6.3
1980/2/20,7
1980/2/21,5.4
1980/2/22,4.9
1980/2/23,5.5
1980/2/24,6.8
1980/2/25,7.3
1980/2/26,7
1980/2/27,8.1
1980/2/28,6.5
1980/2/29,8.4
1980/3/1,9.9
1980/3/2,5.5
1980/3/3,6.5
1980/3/4,5.9
1980/3/5,6.4
1980/3/6,8.1
1980/3/7,8.5
1980/3/8,9.7
1980/3/9,10.2
1980/3/10,10.5
1980/3/11,7.8
1980/3/12,7.6
1980/3/13,8.3
1980/3/14,8
1981/2/1,4.6
1981/2/2,4.3
1981/2/3,4.2
1981/2/4,2.8
1981/2/5,3.8
1981/2/6,4.2
1981/2/7,5.1
1981/2/8,6
1981/2/9,5.5
1981/2/10,6.2
1981/2/11,5.1
1981/2/12,5.6
1981/2/13,7.4
1981/2/14,9.5
1981/2/15,9
1981/2/16,12.3
1981/2/17,5.5
1981/2/18,5.9
1981/2/19,7.8
1981/2/20,4.5
1981/2/21,5.3
1981/2/22,5.6
1981/2/23,7
1981/2/24,6.7
1981/2/25,1.6
1981/2/26,-3.1
1981/2/27,-1.4
1981/2/28,1.5
1981/3/1,1.1
1981/3/2,4.7
1981/3/3,4.3
1981/3/4,7.3
1981/3/5,6.2
1981/3/6,3.9
1981/3/7,5.8
1981/3/8,9
1981/3/9,8.8
1981/3/10,5.5
1981/3/11,5.1
1981/3/12,9
1981/3/13,11.7
1981/3/14,12.8
1981/3/15,9
1982/2/1,4.6
1982/2/2,2.8
1982/2/3,4.4
1982/2/4,5.1
1982/2/5,5.5
1982/2/6,4.6
1982/2/7,2.9
1982/2/8,3.2
1982/2/9,3
1982/2/10,4.4
1982/2/11,4.6
1982/2/12,7
1982/2/13,6
1982/2/14,4.3
1982/2/15,3.3
1982/2/16,5.7
1982/2/17,4.4
1982/2/18,6.7
1982/2/19,9.4
1982/2/20,11
1982/2/21,9.9
1982/2/22,7.4
1982/2/23,8.6
1982/2/24,4.3
1982/2/25,4.8
1982/2/26,4.1
1982/2/27,6.2
1982/2/28,7
1982/3/1,6.6
1982/3/2,6
1982/3/3,5
1982/3/4,10
1982/3/5,12.9
1982/3/6,9.7
1982/3/7,6.5
1982/3/8,5.2
1982/3/9,6.5
1982/3/10,8.2
1982/3/11,10
1982/3/12,8.8
1982/3/13,11.8
1982/3/14,11.1
1982/3/15,12.9
1983/2/1,6.5
1983/2/2,9.5
1983/2/3,7.1
1983/2/4,4.4
1983/2/5,6.9
1983/2/6,8.7
1983/2/7,7.9
1983/2/8,6.6
1983/2/9,6.8
1983/2/10,3.2
1983/2/11,3.9
1983/2/12,3.8
1983/2/13,1.9
1983/2/14,2.4
1983/2/15,7.5
1983/2/16,6.5
1983/2/17,5.7
1983/2/18,2.9
1983/2/19,2.1
1983/2/20,2.8
1983/2/21,1.6
1983/2/22,2.6
1983/2/23,5.1
1983/2/24,6.3
1983/2/25,5.9
1983/2/26,5.4
1983/2/27,5.1
1983/2/28,6.4
1983/3/1,7.3
1983/3/2,13.4
1983/3/3,9.8
1983/3/4,8.1
1983/3/5,5.5
1983/3/6,6.3
1983/3/7,5.9
1983/3/8,4.2
1983/3/9,6.2
1983/3/10,7.1
1983/3/11,8.5
1983/3/12,9.3
1983/3/13,9.2
1983/3/14,6.1
1983/3/15,7.3
1984/2/1,2.5
1984/2/2,3.1
1984/2/3,0.7
1984/2/4,0.5
1984/2/5,2.1
1984/2/6,1.4
1984/2/7,-1.8
1984/2/8,-0.5
1984/2/9,0.9
1984/2/10,1.2
1984/2/11,3.1
1984/2/12,2.4
1984/2/13,4
1984/2/14,4.3
1984/2/15,3.2
1984/2/16,3.8
1984/2/17,2.8
1984/2/18,4.3
1984/2/19,3.3
1984/2/20,4.4
1984/2/21,5.9
1984/2/22,5.9
1984/2/23,6.7
1984/2/24,7.2
1984/2/25,7
1984/2/26,7.1
1984/2/27,3.2
1984/2/28,2
1984/2/29,1.1
1984/3/1,0.8
1984/3/2,6.1
1984/3/3,3.4
1984/3/4,2.5
1984/3/5,3.1
1984/3/6,4.6
1984/3/7,4.1
1984/3/8,4.5
1984/3/9,6.6
1984/3/10,6.6
1984/3/11,4.6
1984/3/12,7
1984/3/13,8.7
1984/3/14,5.2
1985/2/1,8.6
1985/2/2,8.3
1985/2/3,9.5
1985/2/4,7.6
1985/2/5,7.9
1985/2/6,7.3
1985/2/7,9.1
1985/2/8,8.2
1985/2/9,11.3
1985/2/10,7.3
1985/2/11,6.4
1985/2/12,7.1
1985/2/13,6.3
1985/2/14,4.2
1985/2/15,5.1
1985/2/16,6.5
1985/2/17,5.3
1985/2/18,5.9
1985/2/19,7
1985/2/20,6.6
1985/2/21,3.2
1985/2/22,2.6
1985/2/23,3.9
1985/2/24,2.4
1985/2/25,3.2
1985/2/26,5.1
1985/2/27,6
1985/2/28,7
1985/3/1,9.1
1985/3/2,7.9
1985/3/3,8.3
1985/3/4,7.3
1985/3/5,7.6
1985/3/6,7.5
1985/3/7,9.3
1985/3/8,12.4
1985/3/9,9.6
1985/3/10,8.1
1985/3/11,5.9
1985/3/12,6.8
1985/3/13,7.5
1985/3/14,8
1985/3/15,8.6
1986/2/1,5.1
1986/2/2,4
1986/2/3,3.7
1986/2/4,1.8
1986/2/5,2.1
1986/2/6,1.9
1986/2/7,1.6
1986/2/8,1.7
