ダウンロードした時刻：2023/05/26 11:39:49

,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間)
,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号
1980/2/1,0.4,8,1,2.7,8,1,9.5,0,8,1,1.2,0,8,1
1980/2/2,1.2,8,1,3.8,8,1,8.0,0,8,1,2.0,0,8,1
1980/2/3,1.6,8,1,3.9,8,1,6.5,0,8,1,1.0,0,8,1
1980/2/4,1.6,8,1,2.6,8,1,17.5,0,8,1,0,1,8,1
1980/2/5,0.6,8,1,2.8,8,1,4.5,0,8,1,0.9,0,8,1
1980/2/6,-1.1,8,1,0.8,8,1,9.5,0,8,1,0.1,0,8,1
1980/2/7,-1.1,8,1,0.9,8,1,5.0,0,8,1,0.2,0,8,1
1980/2/8,0.3,8,1,3.7,8,1,1.0,0,8,1,4.1,0,8,1
1980/2/9,0.3,8,1,3.0,8,1,19.5,0,8,1,0.9,0,8,1
1980/2/10,1.4,8,1,3.9,8,1,6.0,0,8,1,1.8,0,8,1
1980/2/11,2.2,8,1,4.4,8,1,11.5,0,8,1,1.2,0,8,1
1980/2/12,2.2,8,1,5.1,8,1,5.0,0,8,1,3.0,0,8,1
1980/2/13,0.4,8,1,2.7,8,1,18.0,0,8,1,1.4,0,8,1
1980/2/14,1.0,8,1,3.4,8,1,0.0,0,8,1,7.4,0,8,1
1980/2/15,0.7,8,1,3.0,8,1,6.5,0,8,1,0.9,0,8,1
1980/2/16,-0.8,8,1,2.6,8,1,1.5,0,8,1,2.2,0,8,1
1980/2/17,-0.4,8,1,2.7,8,1,4.5,0,8,1,3.0,0,8,1
1980/2/18,1.6,8,1,4.8,8,1,0.0,0,8,1,8.6,0,8,1
1980/2/19,3.0,8,1,6.6,8,1,2.5,0,8,1,0,1,8,1
1980/2/20,3.0,8,1,5.7,8,1,2.0,0,8,1,1.0,0,8,1
1980/2/21,0.6,8,1,4.6,8,1,3.0,0,8,1,4.3,0,8,1
